Traffik,Bandwith,Throughput,Link Utilization,Jitter,Packet Los,Packet Loss
1600,1000,964,0.964,3.384,53/135,39
1600,1000,976,0.976,3.335,54/137,39
1600,1000,964,0.964,3.284,53/135,39
1600,1000,976,0.976,3.291,53/136,39
1600,1000,976,0.976,3.369,54/137,39
1600,1000,964,0.964,3.369,53/135,39
1600,1000,976,0.976,3.599,54/137,39
1600,1000,964,0.964,3.306,53/135,39
1600,1000,976,0.976,3.364,53/136,39
1600,1000,976,0.976,3.65,55/138,40
1600,1000,964,0.964,3.501,53/135,39
1600,1000,976,0.976,3.325,54/137,39
1600,1000,976,0.976,3.317,54/137,39
1600,1000,964,0.964,3.311,53/135,39
1600,1000,976,0.976,3.453,53/136,39
1600,1000,964,0.964,3.462,53/135,39
1600,1000,976,0.976,3.347,54/137,39
1600,1000,964,0.964,3.2,53/135,39
1600,1000,976,0.976,3.217,53/136,39
1600,1000,976,0.976,3.452,54/137,39
1600,1000,964,0.964,3.348,53/135,39
1600,1000,976,0.976,3.651,52/135,39
1600,1000,964,0.964,3.342,53/135,39
1600,1000,976,0.976,3.477,53/136,39
1600,1000,976,0.976,3.18,54/137,39
1600,1000,964,0.964,3.291,53/135,39
1600,1000,976,0.976,3.417,53/136,39
1600,1000,976,0.976,3.367,54/137,39
1600,1000,964,0.964,3.288,53/135,39
1600,1000,976,0.976,3.21,54/137,39
1600,1000,964,0.964,3.34,53/135,39
1600,1000,976,0.976,3.685,55/138,40
1600,1000,976,0.976,3.579,55/138,40
1600,1000,870,0.87,3.348,48/122,39
2000,1000,976,0.976,6.207,0/83,0
2000,1000,964,0.964,6.217,0/82,0
2000,1000,976,0.976,6.253,0/83,0
2000,1000,976,0.976,6.206,0/83,0
2000,1000,964,0.964,6.218,0/82,0
2000,1000,976,0.976,6.269,0/83,0
2000,1000,964,0.964,6.167,0/82,0
2000,1000,976,0.976,6.218,0/83,0
2000,1000,976,0.976,6.301,0/83,0
2000,1000,964,0.964,6.207,0/82,0
2000,1000,976,0.976,6.22,0/83,0
2000,1000,976,0.976,6.218,0/83,0
2000,1000,964,0.964,6.225,0/82,0
2000,1000,976,0.976,6.222,0/83,0
2000,1000,964,0.964,6.206,0/82,0
2000,1000,976,0.976,6.212,0/83,0
2000,1000,976,0.976,6.207,0/83,0
2000,1000,964,0.964,6.215,0/82,0
2000,1000,976,0.976,6.211,0/83,0
2000,1000,964,0.964,6.207,0/82,0
2000,1000,976,0.976,6.216,0/83,0
2000,1000,976,0.976,6.218,0/83,0
2000,1000,964,0.964,1.217,39/ 121,32
2000,1000,976,0.976,0.513,87/ 170,51
2000,1000,964,0.964,0.564,87/ 169,51
2000,1000,976,0.976,0.639,88/ 171,51
2000,1000,976,0.976,0.813,88/ 171,51
2000,1000,964,0.964,0.645,86/ 168,51
2000,1000,976,0.976,0.663,88/ 171,51
2000,1000,976,0.976,0.713,88/ 171,51
2000,1000,964,0.964,0.523,86/ 168,51
2000,1000,976,0.976,0.547,88/ 171,51
2000,1000,964,0.964,0.641,87/ 169,51
2000,1000,976,0.976,0.75,88/ 171,51
2000,1000,976,0.976,0.527,87/ 170,51
2000,1000,964,0.964,0.569,87/ 169,51
2000,1000,976,0.976,0.757,88/ 171,51
2000,1000,964,0.964,0.837,87/ 169,51
2000,1000,976,0.976,0.633,87/ 170,51
2000,1000,976,0.976,0.724,88/ 171,51
2000,1000,964,0.964,0.77,87/ 169,51
2000,1000,976,0.976,0.516,87/ 170,51
2000,1000,976,0.976,0.574,88/ 171,51
2000,1000,964,0.964,0.68,87/ 169,51
2000,1000,976,0.976,0.766,88/ 171,51
2000,1000,964,0.964,0.554,86/ 168,51
2000,1000,976,0.976,0.608,88/ 171,51
2000,1000,976,0.976,0.697,88/ 171,51
2000,1000,964,0.964,0.529,86/ 168,51
2000,1000,976,0.976,0.582,88/ 171,51
2000,1000,953,0.953,13.1,1986/2067,96
2000,1000,976,0.976,6.246,0/83,0
2000,1000,964,0.964,6.218,0/82,0
2000,1000,976,0.976,6.215,0/83,0
2000,1000,976,0.976,6.199,0/83,0
2000,1000,964,0.964,6.218,0/82,0
2000,1000,976,0.976,6.217,0/83,0
2000,1000,976,0.976,6.214,0/83,0
2000,1000,964,0.964,6.229,0/82,0
2000,1000,976,0.976,6.213,0/83,0
400,1000,412,0.412,0.163,0/35,0
400,1000,400,0.4,0.28,0/34,0
400,1000,400,0.4,0.268,0/34,0
400,1000,400,0.4,0.269,0/34,0
400,1000,400,0.4,0.238,0/34,0
400,1000,400,0.4,0.323,0/34,0
400,1000,400,0.4,0.342,0/34,0
400,1000,400,0.4,0.271,0/34,0
400,1000,400,0.4,0.281,0/34,0
400,1000,400,0.4,0.283,0/34,0
400,1000,400,0.4,0.257,0/34,0
400,1000,400,0.4,0.298,0/34,0
400,1000,400,0.4,0.34,0/34,0
400,1000,400,0.4,0.303,0/34,0
400,1000,400,0.4,0.24,0/34,0
400,1000,400,0.4,0.32,0/34,0
400,1000,400,0.4,0.294,0/34,0
400,1000,400,0.4,0.33,0/34,0
400,1000,400,0.4,0.324,0/34,0
400,1000,400,0.4,0.269,0/34,0
400,1000,400,0.4,0.227,0/34,0
400,1000,400,0.4,0.28,0/34,0
400,1000,400,0.4,0.233,0/34,0
400,1000,400,0.4,0.269,0/34,0
400,1000,400,0.4,0.307,0/34,0
400,1000,400,0.4,0.291,0/34,0
400,1000,400,0.4,0.295,0/34,0
400,1000,400,0.4,0.281,0/34,0
400,1000,400,0.4,0.257,0/34,0
400,1000,400,0.4,0.263,0/34,0
400,1000,400,0.4,0.178,0/34,0
400,1000,400,0.4,0.242,0/34,0
400,1000,400,0.4,0.232,0/34,0
400,1000,400,0.4,0.291,0/34,0
400,1000,400,0.4,0.292,0/34,0
400,1000,400,0.4,0.365,0/34,0
400,1000,400,0.4,0.319,0/34,0
400,1000,400,0.4,0.254,0/34,0
400,1000,400,0.4,0.328,0/34,0
400,1000,400,0.4,0.261,0/34,0
400,1000,412,0.412,0.276,0/35,0
400,1000,400,0.4,0.34,0/34,0
400,1000,400,0.4,0.251,0/34,0
400,1000,400,0.4,0.293,0/34,0
400,1000,400,0.4,0.284,0/34,0
400,1000,400,0.4,0.274,0/34,0
400,1000,400,0.4,0.286,0/34,0
400,1000,400,0.4,0.295,0/34,0
400,1000,400,0.4,0.262,0/34,0
400,1000,400,0.4,0.264,0/34,0
400,1000,400,0.4,0.266,0/34,0
400,1000,400,0.4,0.214,0/34,0
400,1000,400,0.4,0.235,0/34,0
400,1000,400,0.4,0.31,0/34,0
400,1000,400,0.4,0.334,0/34,0
400,1000,400,0.4,0.273,0/34,0
400,1000,400,0.4,0.295,0/34,0
400,1000,400,0.4,0.314,0/34,0
400,1000,400,0.4,0.325,0/34,0
400,1000,400,0.4,0.288,0/34,0
800,1000,823,0.823,0.256,0/70,0
800,1000,800,0.8,0.176,0/68,0
800,1000,800,0.8,0.112,0/68,0
800,1000,800,0.8,0.066,0/68,0
800,1000,800,0.8,0.251,0/68,0
800,1000,800,0.8,0.07,0/68,0
800,1000,800,0.8,0.062,0/68,0
800,1000,800,0.8,0.067,0/68,0
800,1000,800,0.8,0.072,0/68,0
800,1000,800,0.8,0.17,0/68,0
800,1000,800,0.8,0.188,0/68,0
800,1000,800,0.8,0.184,0/68,0
800,1000,800,0.8,0.222,0/68,0
800,1000,800,0.8,0.279,0/68,0
800,1000,800,0.8,0.103,0/68,0
800,1000,800,0.8,0.12,0/68,0
800,1000,800,0.8,0.234,0/68,0
800,1000,800,0.8,0.287,0/68,0
800,1000,800,0.8,0.23,0/68,0
800,1000,800,0.8,0.303,0/68,0
800,1000,800,0.8,0.27,0/68,0
800,1000,800,0.8,0.251,0/68,0
800,1000,800,0.8,0.214,0/68,0
800,1000,800,0.8,0.273,0/68,0
800,1000,800,0.8,0.278,0/68,0
800,1000,800,0.8,0.234,0/68,0
800,1000,800,0.8,0.25,0/68,0
800,1000,800,0.8,0.271,0/68,0
800,1000,811,0.811,0.27,0/69,0
800,1000,800,0.8,0.3,0/68,0
800,1000,800,0.8,0.282,0/68,0
800,1000,800,0.8,0.19,0/68,0
800,1000,800,0.8,0.26,0/68,0
800,1000,800,0.8,0.254,0/68,0
800,1000,800,0.8,0.13,0/68,0
800,1000,800,0.8,0.249,0/68,0
800,1000,800,0.8,0.263,0/68,0
800,1000,800,0.8,0.22,0/68,0
800,1000,800,0.8,0.154,0/68,0
800,1000,800,0.8,0.124,0/68,0
800,1000,800,0.8,0.245,0/68,0
800,1000,800,0.8,0.251,0/68,0
800,1000,800,0.8,0.252,0/68,0
800,1000,800,0.8,0.294,0/68,0
800,1000,800,0.8,0.229,0/68,0
800,1000,800,0.8,0.303,0/68,0
800,1000,800,0.8,0.262,0/68,0
800,1000,800,0.8,0.284,0/68,0
800,1000,800,0.8,0.241,0/68,0
800,1000,800,0.8,0.289,0/68,0
800,1000,800,0.8,0.185,0/68,0
800,1000,800,0.8,0.206,0/68,0
800,1000,800,0.8,0.224,0/68,0
800,1000,800,0.8,0.231,0/68,0
800,1000,800,0.8,0.189,0/68,0
800,1000,800,0.8,0.254,0/68,0
800,1000,800,0.8,0.206,0/68,0
800,1000,800,0.8,0.323,0/68,0
800,1000,800,0.8,0.276,0/68,0
800,1000,800,0.8,0.284,0/68,0
1200,1000,976,0.976,2.297,0/83,0
1200,1000,976,0.976,2.302,0/83,0
1200,1000,964,0.964,2.3,0/82,0
1200,1000,976,0.976,2.291,0/83,0
1200,1000,964,0.964,2.298,0/82,0
1200,1000,976,0.976,2.314,0/83,0
1200,1000,976,0.976,2.286,0/83,0
1200,1000,964,0.964,2.296,0/82,0
1200,1000,976,0.976,2.301,0/83,0
1200,1000,976,0.976,2.198,0/83,0
1200,1000,964,0.964,2.314,0/82,0
1200,1000,976,0.976,2.293,0/83,0
1200,1000,964,0.964,2.287,0/82,0
1200,1000,976,0.976,2.321,0/83,0
1200,1000,976,0.976,2.323,0/83,0
1200,1000,964,0.964,2.292,0/82,0
1200,1000,976,0.976,2.333,0/83,0
1200,1000,964,0.964,2.303,0/82,0
1200,1000,976,0.976,2.3,0/83,0
1200,1000,976,0.976,2.341,0/83,0
1200,1000,964,0.964,2.281,0/82,0
1200,1000,976,0.976,2.298,0/83,0
1200,1000,964,0.964,2.396,0/82,0
1200,1000,976,0.976,2.291,0/83,0
1200,1000,976,0.976,2.317,0/83,0
1200,1000,964,0.964,2.266,0/82,0
1200,1000,976,0.976,2.293,0/83,0
1200,1000,976,0.976,2.29,0/83,0
1200,1000,964,0.964,2.302,0/82,0
1200,1000,976,0.976,2.299,0/83,0
1200,1000,964,0.964,2.296,0/82,0
1200,1000,976,0.976,2.368,0/83,0
1200,1000,976,0.976,2.312,0/83,0
1200,1000,964,0.964,2.299,0/82,0
1200,1000,976,0.976,2.304,0/83,0
1200,1000,964,0.964,2.306,0/82,0
1200,1000,976,0.976,2.3,0/83,0
1200,1000,976,0.976,2.3,0/83,0
1200,1000,964,0.964,2.429,0/82,0
1200,1000,976,0.976,2.301,0/83,0
1200,1000,976,0.976,2.295,0/83,0
1200,1000,964,0.964,2.298,0/82,0
1200,1000,976,0.976,2.29,0/83,0
1200,1000,964,0.964,2.296,0/82,0
1200,1000,976,0.976,2.318,0/83,0
1200,1000,976,0.976,2.286,0/83,0
1200,1000,964,0.964,2.304,0/82,0
1200,1000,976,0.976,2.352,0/83,0
1200,1000,964,0.964,2.3,0/82,0
1200,1000,976,0.976,2.29,0/83,0
1200,1000,964,0.964,20.131,530/612,87
1200,1000,976,0.976,2.382,0/83,0
1200,1000,976,0.976,2.303,0/83,0
1200,1000,964,0.964,2.383,0/82,0
1200,1000,976,0.976,2.289,0/83,0
1200,1000,964,0.964,2.289,0/82,0
1200,1000,976,0.976,2.439,0/83,0
1200,1000,976,0.976,2.306,0/83,0
1200,1000,964,0.964,2.292,0/82,0
1200,1000,976,0.976,2.268,0/83,0
1600,1000,976,0.976,4.774,0/83,0
1600,1000,964,0.964,4.747,0/82,0
1600,1000,976,0.976,4.735,0/83,0
1600,1000,976,0.976,4.783,0/83,0
1600,1000,964,0.964,4.755,0/82,0
1600,1000,976,0.976,4.738,0/83,0
1600,1000,964,0.964,4.814,0/82,0
1600,1000,976,0.976,4.752,0/83,0
1600,1000,976,0.976,4.755,0/83,0
1600,1000,964,0.964,4.838,0/82,0
1600,1000,976,0.976,4.752,0/83,0
1600,1000,964,0.964,4.755,0/82,0
1600,1000,976,0.976,4.741,0/83,0
1600,1000,976,0.976,4.756,0/83,0
1600,1000,964,0.964,4.75,0/82,0
1600,1000,976,0.976,4.772,0/83,0
1600,1000,964,0.964,4.758,0/82,0
1600,1000,976,0.976,4.756,0/83,0
1600,1000,976,0.976,4.753,0/83,0
1600,1000,964,0.964,4.747,0/82,0
1600,1000,976,0.976,4.749,0/83,0
1600,1000,976,0.976,4.759,0/83,0
1600,1000,964,0.964,4.76,0/82,0
1600,1000,976,0.976,4.753,0/83,0
1600,1000,964,0.964,4.757,0/82,0
1600,1000,976,0.976,4.75,0/83,0
1600,1000,976,0.976,4.76,0/83,0
1600,1000,964,0.964,4.746,0/82,0
1600,1000,976,0.976,4.749,0/83,0
1600,1000,964,0.964,3.962,8/90,8.9
1600,1000,976,0.976,3.375,53/136,39
1600,1000,976,0.976,3.386,54/137,39
1600,1000,964,0.964,3.342,53/135,39
1600,1000,976,0.976,3.163,53/136,39
1600,1000,964,0.964,3.453,53/135,39
1600,1000,976,0.976,3.42,54/137,39
1600,1000,976,0.976,3.282,54/137,39
1600,1000,964,0.964,3.467,52/134,39
1600,1000,976,0.976,3.354,54/137,39
1600,1000,976,0.976,3.319,54/137,39
1600,1000,964,0.964,3.236,53/135,39
1600,1000,976,0.976,3.169,53/136,39
1600,1000,964,0.964,3.416,53/135,39
1600,1000,976,0.976,3.39,54/137,39
1600,1000,976,0.976,3.395,53/136,39
1600,1000,964,0.964,3.328,53/135,39
1600,1000,976,0.976,3.356,54/137,39
1600,1000,964,0.964,3.164,53/135,39
1600,1000,976,0.976,3.371,53/136,39
1600,1000,976,0.976,3.366,54/137,39
1600,1000,964,0.964,3.271,53/135,39
1600,1000,976,0.976,3.274,54/137,39
1600,1000,976,0.976,3.691,53/136,39
1600,1000,964,0.964,3.477,53/135,39
1600,1000,976,0.976,3.301,54/137,39
1600,1000,964,0.964,3.317,53/135,39
1600,1000,976,0.976,3.678,55/138,40
1600,1000,976,0.976,3.549,53/136,39
1600,1000,964,0.964,3.43,53/135,39
1600,1000,964,0.964,8.371,1295/1377,94
2000,1000,976,0.976,6.217,0/83,0
2000,1000,964,0.964,6.261,0/82,0
2000,1000,976,0.976,6.213,0/83,0
2000,1000,964,0.964,6.209,0/82,0
2000,1000,976,0.976,6.345,0/83,0
2000,1000,976,0.976,6.221,0/83,0
2000,1000,964,0.964,6.224,0/82,0
2000,1000,976,0.976,6.226,0/83,0
2000,1000,964,0.964,6.212,0/82,0
2000,1000,976,0.976,6.228,0/83,0
2000,1000,976,0.976,6.157,0/83,0
2000,1000,964,0.964,6.216,0/82,0
2000,1000,976,0.976,6.226,0/83,0
2000,1000,964,0.964,6.225,0/82,0
2000,1000,976,0.976,6.223,0/83,0
2000,1000,976,0.976,54.062,323/406,80
2000,1000,964,0.964,6.721,0/82,0
2000,1000,976,0.976,6.209,0/83,0
2000,1000,964,0.964,6.234,0/82,0
2000,1000,976,0.976,6.259,0/83,0
2000,1000,976,0.976,6.227,0/83,0
2000,1000,964,0.964,6.218,0/82,0
2000,1000,976,0.976,6.205,0/83,0
2000,1000,964,0.964,6.233,0/82,0
2000,1000,976,0.976,6.224,0/83,0
2000,1000,976,0.976,6.224,0/83,0
2000,1000,964,0.964,0.678,74/156,47
2000,1000,976,0.976,2.003,82/165,50
2000,1000,976,0.976,0.796,88/171,51
2000,1000,964,0.964,0.6,86/168,51
2000,1000,976,0.976,0.647,88/171,51
2000,1000,964,0.964,0.771,87/169,51
2000,1000,976,0.976,0.621,87/170,51
2000,1000,976,0.976,0.566,88/171,51
2000,1000,964,0.964,0.653,87/169,51
2000,1000,976,0.976,0.632,88/171,51
2000,1000,964,0.964,0.645,86/168,51
2000,1000,976,0.976,0.661,88/171,51
2000,1000,976,0.976,0.681,88/171,51
2000,1000,964,0.964,0.514,86/168,51
2000,1000,976,0.976,0.559,88/171,51
2000,1000,976,0.976,0.642,88/171,51
2000,1000,964,0.964,1.079,87/169,51
2000,1000,976,0.976,0.604,87/170,51
2000,1000,964,0.964,0.599,87/169,51
2000,1000,976,0.976,0.782,88/171,51
2000,1000,976,0.976,0.946,88/171,51
2000,1000,964,0.964,0.732,86/168,51
2000,1000,976,0.976,0.844,88/171,51
2000,1000,964,0.964,1.199,87/169,51
2000,1000,976,0.976,0.591,87/170,51
2000,1000,976,0.976,0.698,88/171,51
2000,1000,964,0.964,0.814,87/169,51
2000,1000,976,0.976,0.777,88/171,51
2000,1000,964,0.964,0.586,88/170,52
2000,1000,976,0.976,12.536,1822/1905,96
2000,1000,964,0.964,6.252,0/82,0
2000,1000,976,0.976,6.236,0/83,0
2000,1000,976,0.976,6.211,0/83,0
2000,1000,964,0.964,6.219,0/82,0
400,1000,412,0.412,0.229,0/35,0
400,1000,400,0.4,0.235,0/34,0
400,1000,400,0.4,0.233,0/34,0
400,1000,400,0.4,0.171,0/34,0
400,1000,400,0.4,0.178,0/34,0
400,1000,400,0.4,0.188,0/34,0
400,1000,400,0.4,0.109,0/34,0
400,1000,400,0.4,0.14,0/34,0
400,1000,400,0.4,0.122,0/34,0
400,1000,400,0.4,0.205,0/34,0
400,1000,400,0.4,0.209,0/34,0
400,1000,400,0.4,0.11,0/34,0
400,1000,400,0.4,0.051,0/34,0
400,1000,400,0.4,0.211,0/34,0
400,1000,400,0.4,0.106,0/34,0
400,1000,400,0.4,0.186,0/34,0
400,1000,400,0.4,0.164,0/34,0
400,1000,400,0.4,0.169,0/34,0
400,1000,400,0.4,0.17,0/34,0
400,1000,400,0.4,0.219,0/34,0
400,1000,400,0.4,0.291,0/34,0
400,1000,400,0.4,0.254,0/34,0
400,1000,400,0.4,0.187,0/34,0
400,1000,400,0.4,0.18,0/34,0
400,1000,400,0.4,0.25,0/34,0
400,1000,400,0.4,0.203,0/34,0
400,1000,400,0.4,0.195,0/34,0
400,1000,400,0.4,0.209,0/34,0
400,1000,400,0.4,0.284,0/34,0
400,1000,400,0.4,0.228,0/34,0
400,1000,400,0.4,0.178,0/34,0
400,1000,400,0.4,0.214,0/34,0
400,1000,400,0.4,0.245,0/34,0
400,1000,400,0.4,0.292,0/34,0
400,1000,400,0.4,0.319,0/34,0
400,1000,400,0.4,0.284,0/34,0
400,1000,400,0.4,0.326,0/34,0
400,1000,400,0.4,0.221,0/34,0
400,1000,400,0.4,0.211,0/34,0
400,1000,400,0.4,0.252,0/34,0
400,1000,400,0.4,0.239,0/34,0
400,1000,400,0.4,0.184,0/34,0
400,1000,412,0.412,0.126,0/35,0
400,1000,400,0.4,0.132,0/34,0
400,1000,400,0.4,0.113,0/34,0
400,1000,400,0.4,0.106,0/34,0
400,1000,400,0.4,0.09,0/34,0
400,1000,400,0.4,0.085,0/34,0
400,1000,400,0.4,0.063,0/34,0
400,1000,400,0.4,0.155,0/34,0
400,1000,400,0.4,0.1,0/34,0
400,1000,400,0.4,0.2,0/34,0
400,1000,400,0.4,0.254,0/34,0
400,1000,400,0.4,0.234,0/34,0
400,1000,400,0.4,0.205,0/34,0
400,1000,400,0.4,0.283,0/34,0
400,1000,400,0.4,0.307,0/34,0
400,1000,400,0.4,0.199,0/34,0
400,1000,400,0.4,0.248,0/34,0
400,1000,400,0.4,0.237,0/34,0
800,1000,811,0.811,0.268,0/69,0
800,1000,800,0.8,0.351,0/68,0
800,1000,800,0.8,0.256,0/68,0
800,1000,800,0.8,0.299,0/68,0
800,1000,800,0.8,0.3,0/68,0
800,1000,800,0.8,0.231,0/68,0
800,1000,800,0.8,0.241,0/68,0
800,1000,800,0.8,0.105,0/68,0
800,1000,800,0.8,0.276,0/68,0
800,1000,800,0.8,0.28,0/68,0
800,1000,800,0.8,0.382,0/68,0
800,1000,800,0.8,0.253,0/68,0
800,1000,800,0.8,0.285,0/68,0
800,1000,800,0.8,0.339,0/68,0
800,1000,811,0.811,0.285,0/69,0
800,1000,800,0.8,0.251,0/68,0
800,1000,800,0.8,0.27,0/68,0
800,1000,800,0.8,0.24,0/68,0
800,1000,800,0.8,0.261,0/68,0
800,1000,800,0.8,0.278,0/68,0
800,1000,800,0.8,0.215,0/68,0
800,1000,800,0.8,0.232,0/68,0
800,1000,800,0.8,0.286,0/68,0
800,1000,800,0.8,0.296,0/68,0
800,1000,800,0.8,0.289,0/68,0
800,1000,800,0.8,0.242,0/68,0
800,1000,800,0.8,0.304,0/68,0
800,1000,800,0.8,0.233,0/68,0
800,1000,800,0.8,0.182,0/68,0
800,1000,800,0.8,0.224,0/68,0
800,1000,800,0.8,0.125,0/68,0
800,1000,800,0.8,0.233,0/68,0
800,1000,800,0.8,0.217,0/68,0
800,1000,800,0.8,0.248,0/68,0
800,1000,800,0.8,0.265,0/68,0
800,1000,800,0.8,0.341,0/68,0
800,1000,800,0.8,0.21,0/68,0
800,1000,800,0.8,0.29,0/68,0
800,1000,800,0.8,0.27,0/68,0
800,1000,800,0.8,0.311,0/68,0
800,1000,800,0.8,0.235,0/68,0
800,1000,800,0.8,0.238,0/68,0
